a a, 1, a, a, Wing, 5
a a, 1, a, a, Wing, 5
a a, 1, a, a, Wing, 5
a a, 1, a, a, Wing, 5
a a, 1, a, a, Wing, 5
a a, 1, a, a, Wing, 5
a a, 1, a, a, Wing, 5
a a, 1, a, a, Wing, 5
undefined undefined, undefined, undefined, undefined, undefined, undefined
undefined undefined, undefined, undefined, undefined, undefined, undefined
undefined undefined, undefined, undefined, undefined, undefined, undefined
undefined undefined, undefined, undefined, undefined, undefined, undefined
undefined undefined, undefined, undefined, undefined, undefined, undefined
undefined undefined, undefined, undefined, undefined, undefined, undefined
undefined undefined, undefined, undefined, undefined, undefined, undefined
undefined undefined, undefined, undefined, undefined, undefined, undefined
undefined undefined, undefined, undefined, undefined, undefined, undefined
undefined undefined, undefined, undefined, undefined, undefined, undefined
undefined undefined, undefined, undefined, undefined, undefined, undefined
undefined undefined, undefined, undefined, undefined, undefined, undefined
undefined undefined, undefined, undefined, undefined, undefined, undefined
undefined undefined, undefined, undefined, undefined, undefined, undefined
undefined undefined, undefined, undefined, undefined, Wing, 4
undefined undefined, undefined, undefined, undefined, Wing, 4
undefined undefined, undefined, undefined, undefined, Wing, 7
undefined undefined, undefined, undefined, undefined, Wing, 7
a a, 1, a, a, Wing, 8
a a, 0, a, a, Wing, 8
a a, 14, a, a, Wing, 8
a a, 14, a, a, Wing, 8
